Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,3,3, 3d ,5,2,8978.73,7.04379e-08,3.25075
 1s ,3,3, 3d ,1,1,8978.73,3.13461e-08,3.25075
 1s ,3,3, 3d ,9,2,8978.74,9.69154e-11,3.25075
 1s ,3,3, 3d ,3,2,8978.74,5.73959e-08,3.25075
 1s ,3,3, 3d ,9,1,8978.75,2.22987e-10,3.25075
 1s ,3,3, 3d ,7,1,8978.75,1.61216e-10,3.25075
 1s ,3,3, 3d ,5,1,8978.76,1.90373e-09,3.25075
 1s ,3,3, 3d ,11,1,0.0,0.0,3.25075
 1s ,3,3, 3d ,3,1,8978.78,3.2807e-09,3.25075
 1s ,3,3, 4s ,5,1,8979.46,1.0988e-11,3.25075
 1s ,3,3, 4s ,3,1,8979.46,2.91788e-12,3.25075
 1s ,3,3, 4d ,1,1,8984.52,2.95819e-09,3.25075
 1s ,5,2, 1s ,3,2,4.25152e-05,2.09027e-29,7.49582
 1s ,5,2, 1s ,7,1,0.0373787,1.0592000000000001e-24,7.78955
 1s ,5,2, 1s ,5,1,0.0376491,1.60321e-25,6.61713
 1s ,5,2, 1s ,3,1,0.0378268,4.3288e-25,5.03201
 1s ,5,2, 1s ,1,1,0.0379277,3.41593e-29,7.59103
 1s ,5,2, 2s ,5,3,7879.55,6.71347e-09,9.4981
 1s ,5,2, 2s ,3,3,7879.56,6.57237e-09,15.3815
 1s ,5,2, 2s ,3,2,7879.69,5.40437e-09,15.2554
 1s ,5,2, 2s ,5,2,7879.69,4.72462e-09,9.26776
 1s ,5,2, 2s ,7,1,7879.73,4.13527e-09,15.0516
 1s ,5,2, 2s ,5,1,7879.73,1.65184e-09,9.6524
 1s ,5,2, 2s ,3,1,7879.73,4.12257e-10,9.33788
 1s ,5,2, 2s ,1,1,7879.73,2.1639700000000002e-18,15.6402
 1s ,5,2, 2p ,1,4,8026.99,6.09695e-13,5.08154
 1s ,5,2, 2p ,3,7,8027.04,0.00343215,4.38699
 1s ,5,2, 2p ,5,7,8027.04,0.00287246,4.38492
 1s ,5,2, 2p ,3,6,8027.09,0.000154855,3.7065
 1s ,5,2, 2p ,7,4,8027.09,0.00169148,3.68678
 1s ,5,2, 2p ,5,6,8027.09,0.000672996,3.68069
 1s ,5,2, 2p ,3,5,8027.12,0.000658627,3.68626
 1s ,5,2, 2p ,5,5,8027.12,0.000601194,3.6961
 1s ,5,2, 2p ,5,4,8047.08,0.0011292,3.70407
 1s ,5,2, 2p ,3,4,8047.08,0.000193488,3.69922
 1s ,5,2, 2p ,7,3,8047.09,0.00291153,3.70373
 1s ,5,2, 2p ,1,3,8047.09,1.03305e-07,3.70354
 1s ,5,2, 2p ,3,3,8047.11,0.00135661,3.72243
 1s ,5,2, 2p ,5,3,8047.11,0.00125618,3.70213
 1s ,5,2, 2p ,1,2,8047.17,1.24001e-08,4.49114
 1s ,5,2, 2p ,3,2,8047.17,0.000764735,3.69984
 1s ,5,2, 2p ,5,2,8047.17,0.00335888,3.7016
 1s ,5,2, 2p ,7,2,8047.17,0.00849848,3.71342
 1s ,5,2, 2p ,7,1,8047.2,1.19822e-05,3.70683
 1s ,5,2, 2p ,5,1,8047.2,5.22468e-07,3.71028
 1s ,5,2, 2p ,9,1,8047.2,1.15253e-07,3.7144
 1s ,5,2, 2p ,3,1,8047.2,7.54182e-07,4.44723
 1s ,5,2, 2p ,1,1,8047.2,8.79726e-10,3.7114
 1s ,5,2, 3d ,9,4,8810.4,1.16327e-10,7.51379
 1s ,5,2, 3s ,5,3,8853.91,1.20159e-09,5.54157
 1s ,5,2, 3s ,3,3,8853.91,1.31569e-09,7.98346
 1s ,5,2, 3s ,3,2,8854.08,1.05335e-09,5.83925
 1s ,5,2, 3s ,5,2,8854.08,9.14544e-10,8.7239
 1s ,5,2, 3s ,7,1,8854.12,9.07091e-10,8.75842
 1s ,5,2, 3s ,5,1,8854.12,3.62647e-10,5.89046
 1s ,5,2, 3s ,3,1,8854.12,9.05937e-11,5.83832
 1s ,5,2, 3s ,1,1,8854.12,1.8742599999999997e-20,5.84114
 1s ,5,2, 3p ,7,4,8899.73,0.00019534,5.56045
 1s ,5,2, 3p ,1,4,8900.26,1.32006e-10,5.5721
 1s ,5,2, 3p ,3,7,8900.26,0.000346167,5.59061
 1s ,5,2, 3p ,5,7,8900.26,0.000279735,5.58167
 1s ,5,2, 3p ,3,6,8900.3,1.15747e-05,5.6868
 1s ,5,2, 3p ,5,6,8900.3,8.86505e-05,5.47118
 1s ,5,2, 3p ,3,5,8900.44,0.000174794,8.42798
 1s ,5,2, 3p ,5,5,8900.44,0.00015795,5.73864
 1s ,5,2, 3p ,5,4,8902.69,6.14715e-05,5.46527
 1s ,5,2, 3p ,7,3,8902.69,0.000258629,5.4946
 1s ,5,2, 3p ,3,4,8902.69,1.66376e-05,8.046
 1s ,5,2, 3p ,1,3,8902.7,1.24513e-08,5.73971
 1s ,5,2, 3p ,3,3,8902.71,0.000182649,5.69601
 1s ,5,2, 3p ,5,3,8902.72,0.00021024,8.25201
 1s ,5,2, 3p ,3,2,8902.93,0.000142214,5.58061
 1s ,5,2, 3p ,5,2,8902.93,0.000556006,5.54942
 1s ,5,2, 3p ,1,2,8902.93,5.75482e-09,8.62565
 1s ,5,2, 3p ,7,2,8902.93,0.00140338,8.10745
 1s ,5,2, 3p ,7,1,8902.96,2.52654e-05,5.53974
 1s ,5,2, 3p ,5,1,8902.96,1.65519e-06,5.5108
 1s ,5,2, 3p ,9,1,8902.97,1.88131e-08,5.55343
 1s ,5,2, 3p ,3,1,8902.97,1.38747e-06,5.61105
 1s ,5,2, 3p ,1,1,8902.97,8.41506e-11,5.57964
 1s ,5,2, 3d ,1,4,8973.82,6.34384e-08,2.99763
