Transition register 	 Shell IS 	 IS Configuration 	 IS 2JJ 	 IS eigenvalue 	 IS higher configuration 	 IS percentage 	 Shell FS 	FS Configuration 	 FS 2JJ 	 FS eigenvalue 	 FS higher configuration 	 FS percentage 	 transition energy [eV] 	 intensity 	 intensity [eV] 	 width [eV] 
37 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3s 	 (1s)2 (2s)2 (2p)6 (3s)1 (3p)6 (3d)10 (4s)1 (5p)1  	 1 	 1 	   	  	 8.85445724517E+03 	 2.61253e-11 	 2.31325e-07 	 4.63893
38 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 6 	   	  	 8.90031973520E+03 	 0.00123562 	 10.9974 	 4.37175
39 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 3 	 7 	   	  	 8.90032326498E+03 	 0.00158961 	 14.148 	 4.75034
40 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 3 	 5 	   	  	 8.90056018414E+03 	 0.000216379 	 1.92589 	 4.86755
41 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 5 	   	  	 8.90063166791E+03 	 8.02441e-07 	 0.00714223 	 4.22785
42 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 3 	 6 	   	  	 8.90064064321E+03 	 1.08068e-05 	 0.0961874 	 4.44074
43 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 4 	   	  	 8.90075540044E+03 	 1.04942e-05 	 0.0934063 	 4.37877
44 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 3 	 4 	   	  	 8.90280552814E+03 	 0.00114853 	 10.2251 	 4.28683
45 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 3 	   	  	 8.90283796093E+03 	 0.000150871 	 1.34318 	 4.32532
46 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 5 	 3 	   	  	 8.90290116089E+03 	 0.00225444 	 20.0711 	 4.50053
47 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 1 	   	  	 8.90297448207E+03 	 2.48459e-05 	 0.221202 	 4.24395
48 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 1 	 2 	   	  	 8.90302279096E+03 	 5.7646e-06 	 0.0513224 	 4.0884
49 	 1s 	 (1s)1 (2s)2 (2p)6 (3s)2 (3p)6 (3d)10 (4s)1  (5p)1  	 3 	 3 	  	  	 3p 	 (1s)2 (2s)2 (2p)6 (3s)2 (3p)5 (3d)10 (4s)1 (5p)1  	 3 	 3 	   	  	 8.90304727990E+03 	 3.20863e-07 	 0.00285666 	 4.11618
