Initial Config Label,Initial Config 2jj,Initial Config eig,Final Config Label,Final Config 2jj,Final Config eig,Energy (eV),Intensity (a.u.),Energy width (eV)
 1s ,3,2, 3p ,5,2,8903.02503519,0.00194662,4.13378
 1s ,3,2, 3p ,3,2,8903.02575919,0.000561365,4.1332
 1s ,3,2, 3p ,5,1,8903.12259233,1.17319e-05,4.41207
 1s ,3,2, 3p ,7,1,8903.13970199,4.89447e-08,4.24475
 1s ,3,2, 3p ,3,1,8903.15829148,1.12953e-05,4.2183
 1s ,3,2, 3p ,5,4,8903.41800738,9.00843e-05,4.52395
 1s ,3,2, 3d ,3,7,8978.0200811,3.25619e-08,1.50021
 1s ,3,2, 3d ,5,7,8978.056848,8.29942e-08,1.50021
 1s ,3,2, 3d ,1,4,8978.08667097,1.1137e-07,1.50021
 1s ,3,2, 3d ,5,6,8978.15768478,5.02999e-07,1.50021
 1s ,3,2, 3d ,7,4,8978.20382702,1.69038e-06,1.50021
 1s ,3,2, 3d ,3,6,8978.21348838,1.75643e-07,1.50021
 1s ,3,2, 3d ,1,3,8978.48283406,1.01609e-06,1.50021
 1s ,3,2, 3d ,3,5,8978.49055964,1.66139e-06,1.50021
 1s ,3,2, 3d ,5,5,8978.50924364,1.75825e-06,1.50021
 1s ,3,2, 3d ,5,4,8978.54180927,7.11017e-07,1.50021
 1s ,3,2, 3d ,3,4,8978.54320477,4.85121e-07,1.50021
 1s ,3,2, 3d ,7,3,8978.56677778,3.27224e-06,1.50021
 1s ,3,2, 3d ,1,2,8978.60242598,5.72588e-08,1.50021
 1s ,3,2, 3d ,3,3,8978.61234272,2.24177e-09,1.50021
 1s ,3,2, 3d ,3,2,8978.70349799,3.13165e-07,1.50021
 1s ,3,2, 3d ,5,3,8978.70860746,6.37541e-07,1.50021
 1s ,3,2, 3d ,1,1,8978.711237,1.89106e-07,1.50021
 1s ,3,2, 3d ,5,2,8978.78089699,1.77345e-07,1.50021
 1s ,3,2, 3d ,7,2,8978.79435982,5.68976e-07,1.50021
 1s ,3,2, 3d ,3,1,8978.80097821,1.03703e-07,1.50021
 1s ,3,2, 3d ,7,1,8978.83969226,3.53703e-08,1.50021
 1s ,3,2, 3d ,9,1,8978.86783936,2.35264e-10,1.50021
 1s ,3,2, 3d ,5,1,8978.89035755,8.08874e-09,1.50021
 1s ,3,2, 4s ,3,1,8979.37524701,2.50389e-10,1.50021
 1s ,3,2, 4s ,1,1,8979.38145119,1.93746e-10,1.50021
 1s ,3,2, 5p ,1,1,8984.4533252,1.20013e-05,1.50021
 1s ,1,2, 1s ,5,1,0.212448067071,1.40155e-22,2.84159
 1s ,1,2, 1s ,3,1,0.217371670063,9.81542e-21,2.99394
 1s ,1,2, 1s ,1,1,0.219898443505,3.60644e-21,3.05419
 1s ,1,2, 2s ,1,3,7879.42309674,6.10872e-10,8.73105
 1s ,1,2, 2s ,3,3,7879.49392693,1.6843e-08,8.36503
 1s ,1,2, 2s ,3,2,7879.66887269,9.10785e-09,8.37323
 1s ,1,2, 2s ,1,2,7879.67559951,1.12366e-09,8.1746
 1s ,1,2, 2s ,5,1,7879.89054898,1.31908e-13,7.16159
 1s ,1,2, 2s ,3,1,7879.89520015,3.46236e-09,8.60122
 1s ,1,2, 2s ,1,1,7879.89784768,3.04545e-09,7.92869
 1s ,1,2, 2p ,5,4,8021.97252599,1.2714e-16,32.3301
 1s ,1,2, 2p ,1,6,8026.91356832,0.000795774,2.21787
 1s ,1,2, 2p ,3,7,8026.91608418,0.00662945,2.25965
 1s ,1,2, 2p ,1,5,8027.24912002,0.00114018,2.25883
 1s ,1,2, 2p ,3,6,8027.25563341,0.00127222,2.23143
 1s ,1,2, 2p ,1,4,8027.27763078,0.000735661,2.30014
 1s ,1,2, 2p ,3,5,8027.28273153,0.000528609,2.19928
 1s ,1,2, 2p ,3,4,8046.97616322,0.00740543,2.29152
 1s ,1,2, 2p ,5,3,8046.98007409,5.67647e-07,2.28449
 1s ,1,2, 2p ,1,3,8046.98184649,0.00606059,2.2732
 1s ,1,2, 2p ,1,2,8047.26492195,7.00589e-05,2.18607
 1s ,1,2, 2p ,3,3,8047.27805804,0.00176656,2.21477
 1s ,1,2, 2p ,1,1,8047.30245072,0.00213538,2.24134
 1s ,1,2, 2p ,5,2,8047.3124231,4.87531e-09,2.22166
 1s ,1,2, 2p ,3,2,8047.31521222,0.00344344,2.24671
 1s ,1,2, 2p ,5,1,8047.35977877,1.04323e-07,2.27271
 1s ,1,2, 2p ,7,1,0.0,0.0,2.20052
 1s ,1,2, 2p ,3,1,8047.36972176,1.10691e-06,2.2799
 1s ,1,2, 3s ,3,3,8853.87994396,2.82117e-09,4.34097
 1s ,1,2, 3s ,1,3,8853.88616117,3.6899e-10,4.74159
 1s ,1,2, 3s ,1,2,8854.05525655,1.56255e-10,5.16052
 1s ,1,2, 3s ,3,2,8854.05822469,1.20296e-09,4.7777
 1s ,1,2, 3s ,5,1,8854.28641342,8.23611e-15,4.25507
 1s ,1,2, 3s ,3,1,8854.29123237,1.2551e-09,4.5952
 1s ,1,2, 3s ,1,1,8854.29405033,1.07455e-09,4.58094
 1s ,1,2, 3p ,1,6,8900.15654037,8.37963e-05,4.31376
 1s ,1,2, 3p ,3,7,8900.16007014,0.000774649,4.69235
 1s ,1,2, 3p ,3,5,8900.3969893,9.68725e-08,4.80956
 1s ,1,2, 3p ,1,5,8900.46847307,0.000148465,4.16986
 1s ,1,2, 3p ,3,6,8900.47744837,0.000158326,4.38275
 1s ,1,2, 3p ,1,4,8900.5922056,2.84721e-05,4.32078
 1s ,1,2, 3p ,3,4,8902.6423333,0.000826544,4.22884
 1s ,1,2, 3p ,1,3,8902.67476609,0.000636463,4.26733
 1s ,1,2, 3p ,5,3,8902.73796605,9.85439e-08,4.44254
 1s ,1,2, 3p ,1,1,8902.81128723,1.61261e-07,4.18596
 1s ,1,2, 3p ,1,2,8902.85959612,4.27657e-05,4.03041
 1s ,1,2, 3p ,3,3,8902.88408506,0.000297858,4.05819
 1s ,1,2, 3p ,5,2,8903.02320752,2.6644e-09,4.14808
 1s ,1,2, 3p ,3,2,8903.02393152,0.000707742,4.1475
 1s ,1,2, 3p ,5,1,8903.12076467,1.61359e-08,4.42637
 1s ,1,2, 3p ,7,1,0.0,0.0,4.25905
 1s ,1,2, 3p ,3,1,8903.15646381,1.45973e-06,4.2326
 1s ,1,2, 3p ,5,4,8903.41617971,2.64721e-09,4.53825
 1s ,1,2, 3d ,3,7,8978.01825343,3.23836e-08,1.51451
 1s ,1,2, 3d ,5,7,8978.05502033,1.10278e-08,1.51451
 1s ,1,2, 3d ,1,4,8978.0848433,5.31832e-12,1.51451
 1s ,1,2, 3d ,5,6,8978.15585712,5.69994e-07,1.51451
 1s ,1,2, 3d ,7,4,8978.20199935,2.39673e-11,1.51451
 1s ,1,2, 3d ,3,6,8978.21166072,8.04206e-07,1.51451
 1s ,1,2, 3d ,1,3,8978.48100639,9.93428e-12,1.51451
 1s ,1,2, 3d ,3,5,8978.48873198,4.25742e-07,1.51451
 1s ,1,2, 3d ,5,5,8978.50741597,1.19174e-06,1.51451
 1s ,1,2, 3d ,5,4,8978.53998161,1.9556e-06,1.51451
 1s ,1,2, 3d ,3,4,8978.5413771,1.11641e-06,1.51451
 1s ,1,2, 3d ,7,3,8978.56495011,2.50139e-12,1.51451
 1s ,1,2, 3d ,1,2,8978.60059831,2.66872e-13,1.51451
 1s ,1,2, 3d ,3,3,8978.61051505,1.08726e-07,1.51451
 1s ,1,2, 3d ,3,2,8978.70167032,1.95607e-07,1.51451
 1s ,1,2, 3d ,5,3,8978.7067798,3.14319e-07,1.51451
 1s ,1,2, 3d ,1,1,8978.70940934,7.51144e-14,1.51451
 1s ,1,2, 3d ,5,2,8978.77906932,4.61223e-07,1.51451
 1s ,1,2, 3d ,7,2,8978.79253215,4.24793e-12,1.51451
 1s ,1,2, 3d ,3,1,8978.79915054,1.67521e-07,1.51451
 1s ,1,2, 3d ,7,1,8978.8378646,1.15877e-10,1.51451
 1s ,1,2, 3d ,9,1,0.0,0.0,1.51451
 1s ,1,2, 3d ,5,1,8978.88852988,7.58043e-10,1.51451
 1s ,1,2, 4s ,3,1,8979.37341934,2.17222e-10,1.51451
 1s ,1,2, 4s ,1,1,8979.37962352,2.26803e-11,1.51451
 1s ,1,2, 5p ,1,1,8984.45149753,5.93915e-06,1.51451
 1s ,5,1, 1s ,3,1,0.00492360299184,1.23264e-22,2.80651
 1s ,5,1, 1s ,1,1,0.00745037643339,2.66188e-26,2.86676
 1s ,5,1, 2s ,1,3,7879.21064867,1.64556e-15,8.54362
 1s ,5,1, 2s ,3,3,7879.28147886,1.31811e-09,8.1776
 1s ,5,1, 2s ,3,2,7879.45642462,1.03902e-08,8.1858
 1s ,5,1, 2s ,1,2,7879.46315145,1.08524e-13,7.98717
 1s ,5,1, 2s ,5,1,7879.67810091,4.40668e-08,6.97416
 1s ,5,1, 2s ,3,1,7879.68275208,7.85999e-09,8.41379
 1s ,5,1, 2s ,1,1,7879.68539962,5.36569e-11,7.74126
 1s ,5,1, 2p ,5,4,8021.76007792,2.38044e-06,32.1427
 1s ,5,1, 2p ,1,6,8026.70112025,1.60263e-12,2.03044
 1s ,5,1, 2p ,3,7,8026.70363611,2.587e-05,2.07222
 1s ,5,1, 2p ,1,5,8027.03667195,1.1392e-12,2.0714
 1s ,5,1, 2p ,3,6,8027.04318534,0.00449526,2.044
 1s ,5,1, 2p ,1,4,8027.06518272,4.25135e-14,2.11271
 1s ,5,1, 2p ,3,5,8027.07028346,0.0161671,2.01185
 1s ,5,1, 2p ,3,4,8046.76371515,2.91919e-05,2.10409
 1s ,5,1, 2p ,5,3,8046.76762602,0.0001276,2.09706
 1s ,5,1, 2p ,1,3,8046.76939842,3.28491e-10,2.08577
 1s ,5,1, 2p ,1,2,8047.05247389,5.41355e-07,1.99864
 1s ,5,1, 2p ,3,3,8047.06560997,0.00254022,2.02734
 1s ,5,1, 2p ,1,1,8047.09000265,2.23515e-08,2.05391
 1s ,5,1, 2p ,5,2,8047.09997503,0.015794,2.03423
 1s ,5,1, 2p ,3,2,8047.10276415,0.00226248,2.05928
 1s ,5,1, 2p ,5,1,8047.1473307,0.00421869,2.08528
 1s ,5,1, 2p ,7,1,8047.14851532,0.0505146,2.01309
 1s ,5,1, 2p ,3,1,8047.15727369,0.000363922,2.09247
 1s ,5,1, 3s ,3,3,8853.66749589,4.25931e-10,4.15354
 1s ,5,1, 3s ,1,3,8853.6737131,1.63326e-14,4.55416
 1s ,5,1, 3s ,1,2,8853.84280848,3.83858e-15,4.97309
 1s ,5,1, 3s ,3,2,8853.84577662,2.06709e-09,4.59027
 1s ,5,1, 3s ,5,1,8854.07396536,8.81386e-09,4.06764
 1s ,5,1, 3s ,3,1,8854.0787843,1.59154e-09,4.40777
 1s ,5,1, 3s ,1,1,8854.08160226,1.8261e-12,4.39351
 1s ,5,1, 3p ,1,6,8899.9440923,1.6454e-10,4.12633
 1s ,5,1, 3p ,3,7,8899.94762207,2.2253e-05,4.50492
 1s ,5,1, 3p ,3,5,8900.18454124,4.63638e-07,4.62213
 1s ,5,1, 3p ,1,5,8900.256025,6.14002e-11,3.98243
 1s ,5,1, 3p ,3,6,8900.2650003,0.000419381,4.19532
 1s ,5,1, 3p ,1,4,8900.37975753,9.42641e-11,4.13335
 1s ,5,1, 3p ,3,4,8902.42988523,4.41925e-05,4.04141
 1s ,5,1, 3p ,1,3,8902.46231802,7.28374e-11,4.0799
 1s ,5,1, 3p ,5,3,8902.52551798,0.000434987,4.25511
